City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Mubi,NG,76.55,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
236,Totness,SR,87.58,few clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
239,Dosso,NE,81.5,overcast clouds,13.049,3.1937,Hotel Toubal
241,Etchoropo,MX,86.41,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
245,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
250,Calahorra,ES,80.51,broken clouds,42.3051,-1.9652,Parador de Calahorra
253,Marzuq,YE,85.55,overcast clouds,14.4,46.4667,حيد القفلة
254,Yurimaguas,PE,86.16,few clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
255,Ypsonas,CY,81.45,few clouds,34.6884,32.9574,Club Aphrodite
257,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
261,Kirakira,SB,79.9,light rain,-10.4544,161.9205,SanBiz Lodge
262,Saint Andrews,US,81.66,few clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
268,Gangarampur,IN,84.29,broken clouds,25.4,88.5167,Parijat Lodge
276,Sinnamary,GF,87.06,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
279,Upata,VE,84.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
286,Oyama,JP,81.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
288,Latina,IT,80.71,clear sky,41.45,13.1,Radici b&b
290,Omboue,GA,78.1,broken clouds,-1.5746,9.2618,Hotel Olako
292,Albi,FR,78.71,scattered clouds,43.9298,2.148,Au soleil d'Albi
294,Acajutla,SV,83.23,overcast clouds,13.5928,-89.8275,Laureles
298,Nsanje,MW,87.39,clear sky,-16.92,35.262,Nsanje Discovery Lodge
300,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
306,Dwarka,IN,83.44,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
315,Ponca City,US,86.95,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
316,Nantucket,US,77.11,broken clouds,41.2835,-70.0995,Jared Coffin House
319,Hasaki,JP,79.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
320,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
323,Axim,GH,78.8,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
324,Makakilo City,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
326,Semirara,PH,82.29,overcast clouds,12.0697,121.3986,Magatao palace
330,Zunyi,CN,76.62,overcast clouds,27.6867,106.9072,Bishiluo Hostel
337,Kothi,IN,79.05,overcast clouds,24.75,80.7833,KILA THE HERITAGE PALACE
338,El Retorno,CO,89.42,scattered clouds,2.3302,-72.6276,Hostal la posada de Rita
349,Xuddur,SO,86.4,broken clouds,4.1213,43.8894,Banjanay Hotel
350,Nara,JP,83.91,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
353,Venice,US,84.06,overcast clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
354,Bousse,BF,85.55,overcast clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
358,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
364,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
367,Marsa Matruh,EG,80.8,scattered clouds,31.3525,27.2453,Beau Site
369,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
370,Along,IN,75.85,few clouds,28.1667,94.7667,Hotel West
375,Nova Londrina,BR,78.53,clear sky,-22.7658,-52.985,HOTEL FELICE
377,Castelldefels,ES,81.54,few clouds,41.2779,1.9703,Aparthotel Solifemar
